Episode 1840, Total Reward: 2.11
Episode 1850, Total Reward: -1.01
Episode 1860, Total Reward: -7.25
Episode 1870, Total Reward: 2.60
Episode 1880, Total Reward: -5.28
Episode 1890, Total Reward: 2.13
Episode 1900, Total Reward: 8.86
Episode 1910, Total Reward: -9.05
Episode 1920, Total Reward: 6.31
Episode 1930, Total Reward: -1.48
Episode 1940, Total Reward: 5.85
Episode 1950, Total Reward: -6.74
Episode 1960, Total Reward: 3.68
Episode 1970, Total Reward: 4.74
Episode 1980, Total Reward: -5.55
Episode 1990, Total Reward: 6.19
Episode 2000, Total Reward: 7.50
Episode 2010, Total Reward: -4.02
Episode 2020, Total Reward: -0.71
Episode 2030, Total Reward: 9.25
Episode 2040, Total Reward: -2.78
Episode 2050, Total Reward: 4.32
Episode 2060, Total Reward: -0.26
Episode 2070, Total Reward: 7.98
Episode 2080, Total Reward: 1.68
Episode 2090, Total Reward: 6.87
Episode 2100, Total Reward: 14.27
Episode 2110, Total Reward: -2.16
Episode 2120, Total Reward: 5.60
Episode 2130, Total Reward: 12.85
Episode 2140, Total Reward: 25.83
Episode 2150, Total Reward: 10.64
Episode 2160, Total Reward: 14.33
Episode 2170, Total Reward: 4.88
Episode 2180, Total Reward: 7.06
Episode 2190, Total Reward: 16.23
Episode 2200, Total Reward: 0.57
Episode 2210, Total Reward: 4.86
Episode 2220, Total Reward: 12.99
Episode 2230, Total Reward: 14.78
Episode 2240, Total Reward: 17.19
Episode 2250, Total Reward: 26.39
Episode 2260, Total Reward: 15.00
Episode 2270, Total Reward: 23.84
Episode 2280, Total Reward: 9.83
Episode 2290, Total Reward: 18.98
Episode 2300, Total Reward: 19.15
Episode 2310, Total Reward: 3.75
Episode 2320, Total Reward: 18.93
Episode 2330, Total Reward: 4.03
Episode 2340, Total Reward: 10.42
Episode 2350, Total Reward: 33.08
Episode 2360, Total Reward: 9.82
Episode 2370, Total Reward: 18.21
Episode 2380, Total Reward: 8.18
Episode 2390, Total Reward: 13.02
Episode 2400, Total Reward: 22.19
Episode 2410, Total Reward: 23.05
Episode 2420, Total Reward: 24.76
Episode 2430, Total Reward: 15.13
Episode 2440, Total Reward: 11.84
Episode 2450, Total Reward: 22.66
Episode 2460, Total Reward: 31.09
Episode 2470, Total Reward: 6.78
Episode 2480, Total Reward: 37.12
Episode 2490, Total Reward: 38.75
Episode 2500, Total Reward: 25.07
Episode 2510, Total Reward: 19.41
Episode 2520, Total Reward: 27.32
Episode 2530, Total Reward: 51.96
Episode 2540, Total Reward: 26.75
Episode 2550, Total Reward: 63.36
Episode 2560, Total Reward: 22.81
Episode 2570, Total Reward: 47.89
Episode 2580, Total Reward: 40.80
Episode 2590, Total Reward: 26.87
